#,"Country,
Other",Total
Cases,New
Cases,Total
Deaths,New
Deaths,Total
Recovered,Active
Cases,"Serious,
Critical",Tot Cases/
1M pop,Deaths/
1M pop,Total
Tests,Tests/
1M pop,Population,Continent,Column-15,Column-16,Column-17,Column-18
1,USA,"6,533,056","+18,825","194,747",+717,"3,818,550","2,519,759","14,453","19,715",588,"89,118,926","268,939","331,372,810",North America,,,,
2,India,"4,462,965","+95,529","75,091","+1,168","3,466,819","921,055","8,944","3,228",54,"51,804,677","37,470","1,382,567,327",Asia,,,,
3,Brazil,"4,179,471","+14,347","128,119",+602,"3,397,234","654,118","8,318","19,636",602,"14,408,116","67,692","212,846,718",South America,,,,
4,Russia,"1,041,007","+5,218","18,135",+142,"856,458","166,414","2,300","7,133",124,"39,289,176","269,203","145,946,547",Europe,,,,
5,Peru,"696,190",,"30,123",,"529,751","136,316","1,499","21,060",911,"3,403,397","102,953","33,057,742",South America,,,,
6,Colombia,"679,513",,"21,817",,"541,462","116,234",863,"13,328",428,"2,996,911","58,780","50,985,133",South America,,,,
7,Mexico,"642,860","+5,351","68,484",+703,"451,159","123,217","3,030","4,976",530,"1,450,397","11,227","129,188,221",North America,,,,
8,South Africa,"642,431","+1,990","15,168",+82,"569,935","57,328",539,"10,806",255,"3,842,898","64,642","59,448,983",Africa,,,,
9,Spain,"543,379","+8,866","29,628",+34,N/A,N/A,"1,051","11,621",634,"9,987,326","213,595","46,758,276",Europe,,,,
10,Argentina,"500,034",,"10,457",+52,"382,490","107,087","2,719","11,045",231,"1,458,619","32,217","45,274,241",South America,,,,
11,Chile,"427,027","+1,486","11,702",+20,"399,555","15,770",942,"22,302",611,"2,691,374","140,562","19,147,292",South America,,,,
12,Iran,"393,425","+2,313","22,669",+127,"339,111","31,645","3,735","4,673",269,"3,431,646","40,759","84,194,553",Asia,,,,
13,UK,"355,219","+2,659","41,594",+8,N/A,N/A,80,"5,227",612,"17,619,897","259,291","67,954,116",Europe,,,,
14,France,"344,101","+8,577","30,794",+30,"88,226","225,081",574,"5,269",472,"8,500,000","130,166","65,301,291",Europe,,,,
15,Bangladesh,"331,078","+1,827","4,593",+41,"230,804","95,681",,"2,007",28,"1,674,452","10,148","164,999,225",Asia,,,,
16,Saudi Arabia,"323,012",+775,"4,165",+28,"298,966","19,881","1,386","9,251",119,"5,548,202","158,907","34,914,836",Asia,,,,
17,Pakistan,"299,659",+426,"6,359",+9,"286,506","6,794",544,"1,352",29,"2,825,040","12,744","221,683,215",Asia,,,,
18,Turkey,"284,943","+1,673","6,837",+55,"254,188","23,918","1,181","3,372",81,"8,105,222","95,908","84,510,112",Asia,,,,
19,Italy,"281,583","+1,434","35,577",+14,"211,272","34,734",150,"4,659",589,"9,460,203","156,510","60,444,583",Europe,,,,
20,Iraq,"269,578",,"7,657",,"206,324","55,597",505,"6,675",190,"1,718,157","42,542","40,387,603",Asia,,,,
21,Germany,"255,993","+1,037","9,409",,"230,600","15,984",227,"3,054",112,"12,383,035","147,707","83,835,352",Europe,,,,
22,Philippines,"245,143","+3,176","3,986",+70,"185,543","55,614",990,"2,232",36,"2,908,407","26,475","109,854,237",Asia,,,,
23,Indonesia,"203,342","+3,307","8,336",+106,"145,200","49,806",,742,30,"2,514,670","9,175","274,068,991",Asia,,,,
24,Ukraine,"143,030","+2,551","2,979",+45,"64,703","75,348",177,"3,274",68,"1,751,931","40,106","43,682,293",Europe,,,,
25,Israel,"140,658","+3,093","1,053",+13,"108,339","31,266",478,"15,293",114,"2,574,145","279,872","9,197,590",Asia,,,,
